rep,A,B,C,D
0,0.9386064699964632,2687,5.591242255854212,0.0
1,0.9384914113740951,2637,5.583260141383969,0.0
2,0.9383160720387037,2809,5.649714601486235,0.0
3,0.9386552448472497,2677,5.7354092792216385,0.0
4,0.9386584965039688,2652,5.582836310729283,0.0
5,0.9385666997335143,2735,5.609001951575452,0.0
